"","IDX","grp","lng1","was1","Q21","Q32"
"1","101B","CON","Kotlin","Backend",0.62994812994813,1.10182045436134
"2","101F","CON","Kotlin","Frontend",0.247948148148148,1.18935407321798
"3","10B","SEC","Java","Backend",0.161286001339585,0.915158289464196
"4","10F","SEC","Kotlin","Frontend",0.631819315418667,0.986166517440689
"5","11B","SEC","Java","Backend",0.0280723643169058,0.676264304171281
"6","11F","SEC","Kotlin","Frontend",0.602030040745473,0.609046555104646
"7","12B","SEC","Java","Backend",0.456197627598215,0.81883296460177
"8","12F","SEC","Kotlin","Frontend",0.770393057682491,3.27104875901667
"9","13B","SEC","Java","Backend",1.04503105590062,1.00702067909114
"10","13F","SEC","Kotlin","Frontend",0.927244906940373,1.12366064095999
"11","14B","SEC","Kotlin","Backend",0.638735923589411,0.727291618563842
"12","14F","SEC","Kotlin","Frontend",0.881225463782619,0.749141137936656
"13","2B","CON","Kotlin","Backend",1.04769483024691,0.992468412942989
"14","2F","CON","Kotlin","Frontend",0.81984374172049,0.818228185812932
"15","3B","CON","Java","Backend",0.739884393063584,0.325884359137056
"16","3F","CON","Kotlin","Frontend",0.643497743861895,1.07068645214559
"17","4B","CON","Java","Backend",0.265749674490034,1.99319127849356
"18","4F","CON","Kotlin","Frontend",1.23041110695432,0.881102834966325
"19","5B","CON","Java","Backend",0.435160065111232,0.738825415915013
"20","5F","CON","Kotlin","Frontend",0.601782633697527,1.02827500940708
"21","6B","CON","Java","Backend",0.132963339326194,0.534466911764706
"22","6F","CON","Kotlin","Frontend",0.877076411960133,0.853567498654826
"23","7B","SEC","Java","Backend",1.70297666934835,0.941695376891572
"24","7F","SEC","Kotlin","Frontend",0.547152814288042,1.17185200095613
"25","8B","SEC","Java","Backend",0.37860123186966,0.888026531467998
"26","8F","SEC","Kotlin","Frontend",0.584793213401866,0.917378606412057
"27","9B","SEC","Java","Backend",0.120156726164562,0.323495090938355
"28","9F","SEC","Kotlin","Frontend",0.780415090012613,0.704077320648817
