"","ID","Language","LOC","issues","IpLOC","grp","Was","Runde"
"3",2,"Kotlin",474,64,0.135021097046413,"CON","Backend",1
"4",2,"Kotlin",967,103,0.106514994829369,"CON","Frontend",1
"5",3,"Java",240,6,0.025,"CON","Backend",1
"6",3,"Kotlin",1396,574,0.411174785100287,"CON","Frontend",1
"7",4,"Java",796,14,0.0175879396984925,"CON","Backend",1
"8",4,"Kotlin",800,110,0.1375,"CON","Frontend",1
"9",5,"Java",802,19,0.0236907730673317,"CON","Backend",1
"10",5,"Kotlin",322,36,0.111801242236025,"CON","Frontend",1
"11",6,"Java",243,11,0.0452674897119342,"CON","Backend",1
"12",6,"Kotlin",660,67,0.101515151515152,"CON","Frontend",1
"13",7,"Java",2352,11,0.00467687074829932,"SEC","Backend",1
"14",7,"Kotlin",881,71,0.0805902383654938,"SEC","Frontend",1
"15",8,"Java",618,14,0.0226537216828479,"SEC","Backend",1
"16",8,"Kotlin",1601,160,0.0999375390381012,"SEC","Frontend",1
"17",9,"Java",276,12,0.0434782608695652,"SEC","Backend",1
"18",9,"Kotlin",415,51,0.12289156626506,"SEC","Frontend",1
"19",10,"Java",344,10,0.0290697674418605,"SEC","Backend",1
"20",10,"Kotlin",335,43,0.128358208955224,"SEC","Frontend",1
"21",11,"Java",45,7,0.155555555555556,"SEC","Backend",1
"22",11,"Kotlin",686,59,0.0860058309037901,"SEC","Frontend",1
"23",12,"Java",262,9,0.0343511450381679,"SEC","Backend",1
"24",12,"Kotlin",686,66,0.0962099125364431,"SEC","Frontend",1
"25",13,"Java",673,8,0.011887072808321,"SEC","Backend",1
"26",13,"Kotlin",1274,127,0.0996860282574568,"SEC","Frontend",1
"27",14,"Kotlin",888,70,0.0788288288288288,"SEC","Backend",1
"28",14,"Kotlin",848,110,0.129716981132075,"SEC","Frontend",1
"29",101,"Kotlin",650,222,0.341538461538462,"CON","Backend",1
"30",101,"Kotlin",179,50,0.279329608938547,"CON","Frontend",1
