"term","estimate","std_error","statistic","p_value","signif"
"(Intercept)",6.2807,0.0177,355.568,"< 2e-16","***"
"LayerFrontend",0.2995,0.0233,12.848,"< 2e-16","***"
"GroupSEC",0.2447,0.0223,10.995,"< 2e-16","***"
"Sprint2",1.485,0.0196,75.911,"< 2e-16","***"
"Sprint3",1.8957,0.0189,100.067,"< 2e-16","***"
"LayerFrontend:GroupSEC",-0.0906,0.0296,-3.062,"0.002202","**"
"LayerFrontend:Sprint2",-0.4176,0.0263,-15.859,"< 2e-16","***"
"LayerFrontend:Sprint3",-0.3971,0.0253,-15.673,"< 2e-16","***"
"GroupSEC:Sprint2",0.1503,0.0245,6.126,"8.999e-10","***"
"GroupSEC:Sprint3",0.1621,0.0238,6.816,"9.356e-12","***"
"LayerFrontend:GroupSEC:Sprint2",0.2277,0.0331,6.878,"6.054e-12","***"
"LayerFrontend:GroupSEC:Sprint3",0.2646,0.0319,8.291,"< 2e-16","***"
