"term","estimate","std_error","statistic","p_value","signif"
"(Intercept)",4.0254,0.0546,73.786,"< 2e-16","***"
"LayerFrontend",1.0288,0.0636,16.185,"< 2e-16","***"
"GroupSEC",-1.156,0.1003,-11.521,"< 2e-16","***"
"Sprint2",0.9305,0.0644,14.444,"< 2e-16","***"
"Sprint3",1.2604,0.0618,20.392,"< 2e-16","***"
"LayerFrontend:GroupSEC",0.5548,0.1122,4.945,"7.615e-07","***"
"LayerFrontend:Sprint2",-0.3433,0.0762,-4.506,"6.621e-06","***"
"LayerFrontend:Sprint3",-0.4146,0.0731,-5.673,"1.399e-08","***"
"GroupSEC:Sprint2",-0.0213,0.1187,-0.179,"0.85762",""
"GroupSEC:Sprint3",-0.1665,0.1153,-1.445,"0.14859",""
"LayerFrontend:GroupSEC:Sprint2",0.4023,0.1333,3.019,"0.00254","**"
"LayerFrontend:GroupSEC:Sprint3",1.0884,0.1285,8.47,"< 2e-16","***"
