"term","estimate","std_error","statistic","p_value","signif"
"(Intercept)",-2.5126,0.2912,-8.627,"< 2e-16","***"
"LayerFrontend",1.0277,0.3603,2.853,"0.004336","**"
"GroupSEC",-0.4334,0.402,-1.078,"0.280996",""
"Sprint2",-0.5757,0.4417,-1.303,"0.192422",""
"Sprint3",-0.6979,0.4488,-1.555,"0.119921",""
"LayerFrontend:GroupSEC",-0.0582,0.503,-0.116,"0.907945",""
"LayerFrontend:Sprint2",0.1407,0.5473,0.257,"0.797129",""
"LayerFrontend:Sprint3",0.2306,0.554,0.416,"0.677233",""
"GroupSEC:Sprint2",-0.065,0.6112,-0.106,"0.915323",""
"GroupSEC:Sprint3",-0.0695,0.6191,-0.112,"0.910627",""
"LayerFrontend:GroupSEC:Sprint2",0.1873,0.7608,0.246,"0.805481",""
"LayerFrontend:GroupSEC:Sprint3",0.2593,0.7671,0.338,"0.735325",""
